Unnamed: 0,artist_name,track_name,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
32081,Chief Keef,Hate Bein' Sober,2oHM9KAdFdFvDCaE4V6RST,71,2012,0.82,0.47,8,-7.181,1,0.0458,0.00435,0.0,0.141,0.313,132.003,280173,4
32082,Kendrick Lamar,Backseat Freestyle,3aGibUHhQyBsyumYHylw0K,67,2012,0.546,0.651,1,-7.601,1,0.3,0.000739,0.0,0.235,0.646,77.878,212653,4
32083,Kendrick Lamar,m.A.A.d city,439TlnnznSiBbQbgXiBqAd,67,2012,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,350120,4
32084,Tyga,Rack City,0srwKuJPH8yBzzFUJMBQM2,66,2012,0.929,0.339,1,-10.881,1,0.371,0.0373,1.96e-05,0.187,0.273,98.986,203200,4
32085,Joey Bada$$,Righteous Minds,7dFGkZbmm6cVlI28bfMaWE,68,2012,0.809,0.638,8,-5.646,0,0.28,0.262,0.0,0.453,0.608,94.893,224043,4
32086,Kid Cudi,Pursuit Of Happiness - Extended Steve Aoki Remix,5PX4uS1LqlWEPL69phPVQQ,73,2012,0.722,0.687,0,-5.189,1,0.0556,0.00949,0.00413,0.0462,0.619,128.013,373627,4
32088,Joey Bada$$,Survival Tactics,4pNT8XTKWb2vhcsqwzdXCT,66,2012,0.53,0.843,1,-2.271,1,0.39,0.428,0.0,0.164,0.919,199.946,202785,4
32090,Frank Ocean,Forrest Gump,4YZbVct8l9MnAVIROnLQdx,66,2012,0.701,0.417,6,-7.818,0,0.0329,0.0888,0.000648,0.375,0.186,95.003,194840,4
32093,Lupe Fiasco,Battle Scars (with Guy Sebastian),1hWYT0w2R0J19rlVkiez7X,66,2012,0.517,0.811,5,-4.526,0,0.286,0.186,0.0,0.105,0.494,168.269,250320,4
32095,Maejor,Lights Down Low (feat. Waka Flocka Flame),0hkR93a0LriV2CQUhSXw3h,67,2012,0.716,0.858,7,-3.468,0,0.0422,0.0688,2.87e-06,0.0801,0.67,155.41,186120,4
32101,PSY,Gangnam Style (강남스타일),03UrZgTINDqvnUMbbIMhql,72,2012,0.727,0.937,11,-2.871,0,0.286,0.00417,0.0,0.091,0.749,132.067,219493,4
32111,Daddy Yankee,Limbo,3pDhN3qB33AOPhQEkUCaWt,74,2012,0.806,0.875,7,-3.817,1,0.088,0.0838,0.00192,0.065,0.917,125.063,224693,4
32119,Millonario & W. Corona,Éxtasis,3NqbKUOgaU2LgIFRbu4B12,73,2012,0.937,0.791,0,-5.242,1,0.087,0.0205,0.000234,0.0433,0.974,119.965,289013,4
32122,Zion,More,0AAl3LtvIhEilWXZmYHeh5,68,2012,0.687,0.778,1,-6.623,0,0.101,0.209,0.0,0.117,0.865,172.047,240733,4
32139,Don Omar,Dutty Love,2oJH69cuNyWpCmZyTmvrEN,68,2012,0.735,0.881,1,-3.339,1,0.0894,0.239,1.21e-05,0.11,0.915,90.009,285333,4
32149,Canserbero,Maquiavélico,447r2keRxpkINmWYp83MlH,72,2012,0.554,0.868,11,-5.386,1,0.116,0.544,0.0,0.142,0.402,92.907,284709,4
32153,Canserbero,Es Épico,2kd0T6zgABT8P0s2h9QU5O,71,2012,0.665,0.816,0,-6.753,1,0.266,0.448,0.0,0.297,0.745,93.37,361979,4
32157,Canserbero,Jeremías 17-5,1nSPlJY53DG3avK6UfpDpZ,69,2012,0.644,0.791,5,-4.587,1,0.273,0.157,0.0,0.314,0.408,91.753,318328,4
32185,Ñengo Flow,Cuando Me Dirá,6xBb8VL1NIj6pq01KXwiAb,68,2012,0.85,0.839,7,-8.016,1,0.484,0.194,0.0,0.0622,0.227,88.013,149082,4
32874,Pritam,Raabta,6FjbAnaPRPwiP3sciEYctO,73,2012,0.657,0.581,0,-8.108,1,0.0298,0.699,1.82e-05,0.116,0.323,118.037,243578,4
33749,Alex G,Mary,5T0Ib1Hjhsua7qbGTczU7j,71,2012,0.693,0.467,4,-9.558,0,0.043,0.0497,0.452,0.107,0.402,105.958,197733,4
33750,Mitski,Liquid Smooth,3XCveEutwTaDiekRkkfdp9,72,2012,0.424,0.342,7,-9.469,0,0.0339,0.838,0.0,0.136,0.124,76.235,169773,4
33751,Owl City,Good Time,1kPpge9JDLpcj15qgrPbYX,76,2012,0.56,0.872,3,-4.269,1,0.14,0.0239,6.98e-06,0.371,0.682,126.05,205933,4
33755,Mitski,Brand New City,47k7FCxk7ylTwKCnJ3QTVc,67,2012,0.482,0.829,5,-5.956,0,0.0587,0.0499,0.0,0.0824,0.657,148.119,132773,4
33773,Labrinth,Beneath Your Beautiful (feat. Emeli Sandé),2EcsgXlxz99UMDSPg5T8RF,67,2012,0.561,0.522,2,-5.857,1,0.0318,0.227,0.0,0.104,0.238,83.962,271813,4
